symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
YFIDOWNUSDT,0.00000000,0.000,0.00000000,0.90090000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822023488,1670908423488,-1,-1,0
INJUSDT,-0.32100000,-7.625,4.18105974,4.20900000,3.88900000,155.00000000,3.88800000,251.50000000,3.88900000,820.20000000,4.21000000,4.41800000,3.85300000,6410088.00000000,26800960.84290000,1676939598013,1677025998013,28346790,28442984,96195
AUDIOUSDT,-0.01510000,-4.490,0.32450382,0.33630000,0.32120000,447.00000000,0.32100000,1846.30000000,0.32130000,1310.70000000,0.33630000,0.34120000,0.31100000,24318785.70000000,7891538.74851000,1676939599257,1677025999257,42247875,42284422,36548
CTKUSDT,-0.05200000,-5.355,0.94982363,0.97100000,0.91900000,525.80000000,0.91800000,326.70000000,0.91900000,2999.30000000,0.97100000,0.99500000,0.89000000,6797922.40000000,6456827.30900000,1676939598105,1677025998105,28014635,28047382,32748
BCHUPUSDT,0.00000000,0.000,0.00000000,0.07240000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820934147,1670907334147,-1,-1,0
BCHDOWNUSDT,0.00000000,0.000,0.00000000,0.22470000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820738131,1670907138131,-1,-1,0
AKROUSDT,-0.00020000,-3.968,0.00489772,0.00505000,0.00484000,10331.00000000,0.00483000,180861.00000000,0.00484000,310817.00000000,0.00504000,0.00511000,0.00472000,332571594.00000000,1628843.55015000,1676939597568,1677025997568,27225026,27237308,12283
AXSUSDT,-0.46000000,-4.096,11.00661124,11.24000000,10.77000000,675.24000000,10.76000000,3705.20000000,10.77000000,137.02000000,11.23000000,11.60000000,10.51000000,2176351.60000000,23954255.98050000,1676939601621,1677026001621,121538939,121605189,66251
HARDUSDT,-0.00530000,-2.348,0.22371572,0.22580000,0.22040000,120.00000000,0.22030000,4174.00000000,0.22050000,819.00000000,0.22570000,0.22920000,0.21700000,5796552.00000000,1296779.78200000,1676939571464,1677025971464,21212077,21222978,10902
DNTUSDT,0.00000000,0.000,0.00000000,0.03600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822017734,1670908417734,-1,-1,0
STRAXUSDT,-0.02100000,-3.246,0.64132867,0.64800000,0.62600000,353.30000000,0.62500000,1545.60000000,0.62600000,2431.10000000,0.64700000,0.68000000,0.60900000,5866999.70000000,3762675.13590000,1676939555542,1677025955542,12115543,12135547,20005
UNFIUSDT,0.49900000,7.557,7.02040117,6.60400000,7.10200000,23.00000000,7.10400000,7.70000000,7.10500000,29.70000000,6.60300000,7.64300000,6.47000000,5736502.40000000,40272548.18660000,1676939603045,1677026003045,44299102,44441308,142207
ROSEUSDT,-0.00221000,-2.916,0.07829221,0.07574000,0.07357000,2328.70000000,0.07357000,5911.00000000,0.07360000,2052.40000000,0.07578000,0.08290000,0.07328000,394164833.50000000,30860034.56838600,1676939602899,1677026002899,79435775,79558717,122943
AVAUSDT,-0.03000000,-3.704,0.78171184,0.81000000,0.78000000,82.50000000,0.78000000,1149.30000000,0.78100000,131.10000000,0.81000000,0.82000000,0.75900000,1421642.50000000,1111314.78060000,1676939600820,1677026000820,11524806,11534100,9295
XEMUSDT,0.00010000,0.227,0.04520595,0.04400000,0.04410000,495.00000000,0.04400000,453.00000000,0.04410000,527737.00000000,0.04400000,0.05100000,0.04190000,147006005.00000000,6645545.39410000,1676939598856,1677025998856,34121039,34156415,35377
AAVEUPUSDT,0.00000000,0.000,0.00000000,0.60080000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820541979,1670906941979,-1,-1,0
AAVEDOWNUSDT,0.00000000,0.000,0.00000000,0.00467300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743631,1670907143631,-1,-1,0
SKLUSDT,-0.00333000,-5.517,0.05745300,0.06036000,0.05703000,3770.00000000,0.05695000,5000.00000000,0.05699000,19267.00000000,0.06036000,0.06140000,0.05500000,98922822.00000000,5683412.73623000,1676939602203,1677026002203,31398212,31427278,29067
SUSDUSDT,0.00000000,0.000,0.00000000,0.99600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821326338,1670907726338,-1,-1,0
SUSHIUPUSDT,0.00000000,0.000,0.00000000,0.00471400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822023461,1670908423461,-1,-1,0
SUSHIDOWNUSDT,0.00000000,0.000,0.00000000,37.37000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743643,1670907143643,-1,-1,0
XLMUPUSDT,0.00000000,0.000,0.00000000,0.02430000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820541989,1670906941989,-1,-1,0
XLMDOWNUSDT,0.00000000,0.000,0.00000000,4.30400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743631,1670907143631,-1,-1,0
GRTUSDT,-0.00230000,-1.355,0.17194350,0.16970000,0.16740000,10227.00000000,0.16730000,76759.00000000,0.16740000,55795.00000000,0.16970000,0.18100000,0.16310000,244722744.00000000,42078485.30730000,1676939604300,1677026004300,96949719,97098023,148305
JUVUSDT,-0.18000000,-5.769,3.00045736,3.12000000,2.94000000,6.81000000,2.93000000,1299.87000000,2.94000000,344.16000000,3.12000000,3.18000000,2.88000000,636968.48000000,1911196.76650000,1676939601528,1677026001528,12047621,12058017,10397
PSGUSDT,-0.11000000,-1.705,6.41174037,6.44000000,6.34000000,414.22000000,6.33000000,125.81000000,6.34000000,519.83000000,6.45000000,6.53000000,6.24000000,126231.25000000,809362.00140000,1676939604321,1677026004321,21613075,21618929,5855
1INCHUSDT,0.06200000,10.131,0.65460052,0.61100000,0.67400000,283.70000000,0.67400000,30650.90000000,0.67500000,6330.20000000,0.61200000,0.69700000,0.60200000,43767185.10000000,28650021.93400000,1676939607004,1677026007004,71521519,71617764,96246
REEFUSDT,-0.00002200,-0.591,0.00368275,0.00372700,0.00370300,87419.00000000,0.00370400,170413.00000000,0.00370700,208715.00000000,0.00372500,0.00376800,0.00356000,1973010031.00000000,7266097.65869000,1676939588459,1677025988459,71779777,71820346,40570
OGUSDT,-0.06200000,-2.052,2.99879435,3.02100000,2.95900000,11.80000000,2.95900000,55.90000000,2.96000000,70.40000000,3.02100000,3.07700000,2.92000000,256348.40000000,768736.13230000,1676939553329,1677025953329,14583007,14588113,5107
ATMUSDT,-0.02000000,-0.590,3.40127236,3.38000000,3.37000000,120.93000000,3.36000000,586.65000000,3.37000000,556.46000000,3.39000000,3.49000000,3.33000000,295413.20000000,1004780.75180000,1676939607709,1677026007709,15221650,15226885,5236
ASRUSDT,-0.06600000,-2.201,2.98388226,3.00100000,2.93300000,8.60000000,2.93100000,47.80000000,2.93300000,147.50000000,2.99900000,3.05800000,2.90300000,329754.90000000,983949.79620000,1676939607315,1677026007315,10658483,10664253,5771
CELOUSDT,-0.04200000,-4.719,0.85517992,0.88900000,0.84800000,2533.40000000,0.84800000,797.30000000,0.84900000,2898.00000000,0.89000000,0.89400000,0.82500000,9523493.80000000,8144300.70560000,1676939599300,1677025999300,38542871,38576790,33920
RIFUSDT,0.05720000,78.356,0.11461926,0.07300000,0.13020000,2206.00000000,0.13020000,1029.00000000,0.13040000,2206.00000000,0.07300000,0.14790000,0.07220000,516258113.00000000,59173123.97120000,1676939608810,1677026008810,5723040,6023053,300014
BTCSTUSDT,0.00000000,0.000,0.00000000,5.35000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821569369,1670907969369,-1,-1,0
TRUUSDT,-0.00580000,-8.504,0.06499222,0.06820000,0.06240000,57862.00000000,0.06230000,54531.00000000,0.06240000,17145.00000000,0.06820000,0.07080000,0.06040000,105656871.00000000,6866874.90460000,1676939597242,1677025997242,22668047,22697075,29029
CKBUSDT,-0.00041000,-6.518,0.00588632,0.00629000,0.00588000,196000.00000000,0.00587000,754696.00000000,0.00588000,73757.00000000,0.00629000,0.00676000,0.00545000,2419545715.00000000,14242213.42862000,1676939605569,1677026005569,22031939,22090885,58947
TWTUSDT,0.01140000,0.770,1.51122175,1.48020000,1.49160000,16.00000000,1.49190000,72.00000000,1.49230000,19.00000000,1.48020000,1.57830000,1.44730000,11200929.00000000,16927087.55990000,1676939607961,1677026007961,33737600,33802957,65358
FIROUSDT,-0.08600000,-3.086,2.73415106,2.78700000,2.70100000,15.60000000,2.70000000,253.10000000,2.70300000,73.90000000,2.78700000,2.84700000,2.65500000,494226.80000000,1351290.72790000,1676939595093,1677025995093,12093649,12104078,10430
LITUSDT,-0.13000000,-7.995,1.53936761,1.62500000,1.49600000,1458.90000000,1.49600000,521.00000000,1.49700000,1192.90000000,1.62600000,1.64400000,1.42800000,9322599.70000000,14350908.00570000,1676939610156,1677026010156,53048772,53120993,72222
SFPUSDT,0.01200000,2.090,0.58248317,0.57430000,0.58620000,98.00000000,0.58620000,147.00000000,0.58640000,480.00000000,0.57420000,0.60040000,0.55800000,19368121.00000000,11281604.51020000,1676939609506,1677026009506,41371008,41422454,51447
DODOUSDT,0.00130000,0.632,0.22145597,0.20540000,0.20700000,1326.40000000,0.20690000,2701.10000000,0.20710000,483.20000000,0.20570000,0.26540000,0.18730000,207091340.30000000,45861614.46077000,1676939610593,1677026010593,30996696,31167746,171051
CAKEUSDT,-0.07200000,-1.703,4.19145521,4.22500000,4.15500000,221.27000000,4.15300000,162.86000000,4.15600000,192.79000000,4.22700000,4.27700000,4.03700000,1390290.92000000,5827342.12419000,1676939610502,1677026010502,69901087,69935566,34480
ACMUSDT,-0.03300000,-1.122,2.95438900,2.94100000,2.90900000,28.30000000,2.90500000,10.10000000,2.90900000,6.00000000,2.94200000,3.01500000,2.87300000,221066.00000000,653114.95850000,1676939586096,1677025986096,12209421,12215393,5973
BADGERUSDT,-0.04500000,-1.269,3.62421417,3.55000000,3.50200000,107.80000000,3.50300000,229.55000000,3.50700000,59.82000000,3.54700000,3.82600000,3.41300000,1651134.36000000,5984064.54933000,1676939609179,1677026009179,12364041,12388048,24008
FISUSDT,0.01080000,1.648,0.64825717,0.65550000,0.66630000,122.00000000,0.66560000,28.00000000,0.66640000,534.00000000,0.65550000,0.68000000,0.61320000,9672365.00000000,6270179.94780000,1676939602201,1677026002201,16591831,16618742,26912
OMUSDT,0.00120000,2.516,0.05035561,0.04760000,0.04890000,7416.00000000,0.04880000,15713.00000000,0.04890000,13696.00000000,0.04770000,0.05450000,0.04590000,176745793.00000000,8900141.90170000,1676939603709,1677026003709,13790649,13826674,36026
